




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	2854
GO biological process complete	Arabidopsis thaliana - REFLIST (27416)	upload_1 (287)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
cellular response to sulfur starvation (GO:0010438)	7	4	.07	+	54.59	1.00E-02
anthocyanin-containing compound biosynthetic process (GO:0009718)	18	7	.19	+	37.15	1.39E-05
anthocyanin-containing compound metabolic process (GO:0046283)	24	8	.25	+	31.84	2.91E-06
cellular oxidant detoxification (GO:0098869)	25	5	.26	+	19.11	3.79E-02
cellular detoxification (GO:1990748)	39	7	.41	+	17.15	1.29E-03
cellular response to toxic substance (GO:0097237)	40	7	.42	+	16.72	1.50E-03
flavonoid biosynthetic process (GO:0009813)	54	8	.57	+	14.15	7.15E-04
flavonoid metabolic process (GO:0009812)	63	9	.66	+	13.65	1.66E-04
anion homeostasis (GO:0055081)	43	6	.45	+	13.33	3.22E-02
detoxification (GO:0098754)	100	12	1.05	+	11.46	6.10E-06
systemic acquired resistance (GO:0009627)	62	7	.65	+	10.79	2.12E-02
response to toxic substance (GO:0009636)	120	13	1.26	+	10.35	4.06E-06
response to hydrogen peroxide (GO:0042542)	70	7	.73	+	9.55	4.40E-02
cellular response to hypoxia (GO:0071456)	235	22	2.46	+	8.94	1.16E-10
cellular response to decreased oxygen levels (GO:0036294)	237	22	2.48	+	8.87	1.36E-10
cellular response to oxygen levels (GO:0071453)	238	22	2.49	+	8.83	1.47E-10
response to jasmonic acid (GO:0009753)	175	16	1.83	+	8.73	5.13E-07
response to hypoxia (GO:0001666)	261	22	2.73	+	8.05	8.28E-10
response to decreased oxygen levels (GO:0036293)	265	22	2.77	+	7.93	1.10E-09
response to oxygen levels (GO:0070482)	267	22	2.80	+	7.87	1.27E-09
response to reactive oxygen species (GO:0000302)	160	13	1.67	+	7.76	9.90E-05
S-glycoside metabolic process (GO:0016143)	112	9	1.17	+	7.68	1.42E-02
glucosinolate metabolic process (GO:0019760)	112	9	1.17	+	7.68	1.42E-02
glycosinolate metabolic process (GO:0019757)	112	9	1.17	+	7.68	1.42E-02
response to salicylic acid (GO:0009751)	155	12	1.62	+	7.40	5.46E-04
defense response to fungus (GO:0050832)	252	16	2.64	+	6.07	6.86E-05
secondary metabolic process (GO:0019748)	303	19	3.17	+	5.99	3.95E-06
response to wounding (GO:0009611)	227	14	2.38	+	5.89	7.28E-04
defense response, incompatible interaction (GO:0009814)	181	11	1.89	+	5.81	1.62E-02
glycosyl compound metabolic process (GO:1901657)	187	11	1.96	+	5.62	2.18E-02
response to oxidative stress (GO:0006979)	460	27	4.82	+	5.61	5.10E-09
response to organic cyclic compound (GO:0014070)	280	16	2.93	+	5.46	2.71E-04
response to nitrogen compound (GO:1901698)	301	15	3.15	+	4.76	3.55E-03
response to fungus (GO:0009620)	350	17	3.66	+	4.64	9.70E-04
sulfur compound metabolic process (GO:0006790)	363	17	3.80	+	4.47	1.57E-03
response to water deprivation (GO:0009414)	356	16	3.73	+	4.29	5.67E-03
immune response (GO:0006955)	313	14	3.28	+	4.27	2.62E-02
response to water (GO:0009415)	365	16	3.82	+	4.19	7.71E-03
cellular response to chemical stimulus (GO:0070887)	1085	47	11.36	+	4.14	1.17E-12
immune system process (GO:0002376)	352	15	3.68	+	4.07	2.19E-02
response to cold (GO:0009409)	415	17	4.34	+	3.91	9.00E-03
