




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	2854
GO biological process complete	Arabidopsis thaliana - REFLIST (27416)	upload_1 (852)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
photosynthesis, light harvesting in photosystem II (GO:0009769)	10	9	.31	+	28.96	3.96E-06
cellular response to iron ion starvation (GO:0010106)	8	6	.25	+	24.13	5.13E-03
nitrate assimilation (GO:0042128)	11	6	.34	+	17.55	1.96E-02
nitrate metabolic process (GO:0042126)	11	6	.34	+	17.55	1.96E-02
response to iron ion starvation (GO:1990641)	12	6	.37	+	16.09	2.86E-02
photosynthesis, light harvesting in photosystem I (GO:0009768)	24	11	.75	+	14.75	1.07E-05
response to iron ion (GO:0010039)	23	8	.71	+	11.19	8.02E-03
cellular iron ion homeostasis (GO:0006879)	39	13	1.21	+	10.73	9.46E-06
photosynthesis, light harvesting (GO:0009765)	42	14	1.31	+	10.73	2.35E-06
cellular transition metal ion homeostasis (GO:0046916)	61	18	1.90	+	9.50	4.94E-08
response to insect (GO:0009625)	31	9	.96	+	9.34	6.63E-03
iron ion homeostasis (GO:0055072)	57	16	1.77	+	9.03	1.22E-06
toxin catabolic process (GO:0009407)	46	12	1.43	+	8.39	3.70E-04
S-glycoside biosynthetic process (GO:0016144)	39	10	1.21	+	8.25	4.74E-03
glucosinolate biosynthetic process (GO:0019761)	39	10	1.21	+	8.25	4.74E-03
glycosinolate biosynthetic process (GO:0019758)	39	10	1.21	+	8.25	4.74E-03
toxin metabolic process (GO:0009404)	59	15	1.83	+	8.18	1.35E-05
transition metal ion homeostasis (GO:0055076)	95	22	2.95	+	7.45	1.74E-08
detoxification (GO:0098754)	100	21	3.11	+	6.76	2.56E-07
phenylpropanoid metabolic process (GO:0009698)	109	21	3.39	+	6.20	1.02E-06
response to toxic substance (GO:0009636)	120	23	3.73	+	6.17	1.63E-07
secondary metabolite biosynthetic process (GO:0044550)	144	27	4.48	+	6.03	5.54E-09
xyloglucan metabolic process (GO:0010411)	59	11	1.83	+	6.00	2.13E-02
photosynthesis, light reaction (GO:0019684)	128	23	3.98	+	5.78	5.05E-07
glycosyl compound biosynthetic process (GO:1901659)	62	11	1.93	+	5.71	3.23E-02
phenylpropanoid biosynthetic process (GO:0009699)	88	15	2.73	+	5.48	1.35E-03
secondary metabolic process (GO:0019748)	303	51	9.42	+	5.42	4.83E-17
S-glycoside metabolic process (GO:0016143)	112	17	3.48	+	4.88	1.03E-03
glucosinolate metabolic process (GO:0019760)	112	17	3.48	+	4.88	1.03E-03
glycosinolate metabolic process (GO:0019757)	112	17	3.48	+	4.88	1.03E-03
response to starvation (GO:0042594)	195	28	6.06	+	4.62	5.80E-07
photosynthesis (GO:0015979)	189	27	5.87	+	4.60	1.35E-06
response to nutrient levels (GO:0031667)	222	31	6.90	+	4.49	1.18E-07
cellular metal ion homeostasis (GO:0006875)	131	18	4.07	+	4.42	1.75E-03
metal ion homeostasis (GO:0055065)	183	24	5.69	+	4.22	5.50E-05
response to extracellular stimulus (GO:0009991)	262	34	8.14	+	4.18	8.16E-08
response to oxidative stress (GO:0006979)	460	58	14.30	+	4.06	2.46E-14
cellular cation homeostasis (GO:0030003)	159	20	4.94	+	4.05	1.51E-03
cellular response to starvation (GO:0009267)	160	20	4.97	+	4.02	1.65E-03
cellular ion homeostasis (GO:0006873)	169	21	5.25	+	4.00	9.46E-04
cellular response to nutrient levels (GO:0031669)	174	20	5.41	+	3.70	5.39E-03
response to metal ion (GO:0010038)	433	48	13.46	+	3.57	1.36E-09
cation homeostasis (GO:0055080)	236	26	7.33	+	3.55	3.47E-04
cell wall macromolecule metabolic process (GO:0044036)	173	19	5.38	+	3.53	1.76E-02
inorganic ion homeostasis (GO:0098771)	250	27	7.77	+	3.48	2.88E-04
cellular response to extracellular stimulus (GO:0031668)	213	23	6.62	+	3.47	2.52E-03
cellular chemical homeostasis (GO:0055082)	195	21	6.06	+	3.47	7.73E-03
cellular homeostasis (GO:0019725)	275	29	8.55	+	3.39	1.57E-04
cellular response to external stimulus (GO:0071496)	219	23	6.81	+	3.38	3.89E-03
